[2015-11-12 14:57:00] DELETE Course_Regesitration/views/Course_management/Delc.html: -2
[2015-11-12 14:57:08] DELETE Course_Regesitration/views/Course_management/Viewc.html: -3
[2015-11-12 14:57:35] CREATE Course_management/course_edit.html: 0
[2015-11-12 14:58:31] EDIT Course_Regesitration/views/Course_management/course_edit.html: 2
[2015-11-12 15:01:05] CREATE Student_management/index.html: 0
[2015-11-12 15:01:23] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:05:26] EDIT Course_Regesitration/views/Student_management/index.html: 3
[2015-11-12 15:10:55] EDIT Course_Regesitration/views/Student_management/index.html: 4
[2015-11-12 15:13:01] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/UG-4yr-Academic_regulations.pdf: 435
[2015-11-12 15:13:26] UPLOAD C:/Users/CEU/Dropbox/web2py_win/web2py/applications/Course_Regesitration/static/UG-5yr-Academic_regulations.pdf: 441
[2015-11-12 15:14:11] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:15:29] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:16:03] EDIT Course_Regesitration/views/Student_management/index.html: 2
[2015-11-12 15:16:30] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:17:05] EDIT Course_Regesitration/views/Student_management/index.html: -6
[2015-11-12 15:17:28] EDIT Course_Regesitration/views/Student_management/index.html: 3
[2015-11-12 15:17:46] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:17:53] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:44:35] EDIT Course_Regesitration/views/Student_management/index.html: 7
[2015-11-12 15:45:51] EDIT Course_Regesitration/views/Student_management/index.html: 4
[2015-11-12 15:47:42] EDIT Course_Regesitration/views/Student_management/index.html: 5
[2015-11-12 15:48:24] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:48:48] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:49:47] EDIT Course_Regesitration/views/Student_management/index.html: 3
[2015-11-12 15:49:58] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:50:53] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:51:26] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:51:39] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:51:58] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:52:20] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:52:34] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:52:57] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:53:17] EDIT Course_Regesitration/views/Student_management/index.html: -1
[2015-11-12 15:53:27] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 15:53:52] EDIT Course_Regesitration/views/Student_management/index.html: -1
[2015-11-12 15:54:48] EDIT Course_Regesitration/views/Student_management/index.html: 4
[2015-11-12 15:55:53] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:56:09] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 15:57:25] EDIT Course_Regesitration/views/Student_management/index.html: 4
[2015-11-12 15:59:23] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 16:00:07] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:00:29] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:02:04] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:03:24] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:04:44] EDIT Course_Regesitration/views/Student_management/index.html: 4
[2015-11-12 16:05:30] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:06:05] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 16:06:15] EDIT Course_Regesitration/views/Student_management/index.html: -1
[2015-11-12 16:06:37] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 16:08:41] EDIT Course_Regesitration/views/Student_management/index.html: 1
[2015-11-12 16:09:16] EDIT Course_Regesitration/views/Student_management/index.html: -5
[2015-11-12 16:09:32] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:09:40] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:16:37] EDIT Course_Regesitration/views/Student_management/index.html: 0
[2015-11-12 16:17:32] CREATE Student_management/course_taken.html: 0
[2015-11-12 16:26:07] EDIT Course_Regesitration/controllers/Student_management.py: 8
[2015-11-12 16:38:16] EDIT Course_Regesitration/controllers/Student_management.py: 0
